tracepoint,event_type,event_id,core_ts_us,ipc_worker_ts_us,ipc_latency_us,params
utxocache:add,utxocache_add,b87433b5fe13f15e28388405164253fee7c4a845188fb800e07f672057d7f1bf:0,237080657921,160700339602,-76380318319,"{""type"":""utxocache_add"",""txid"":""b87433b5fe13f15e28388405164253fee7c4a845188fb800e07f672057d7f1bf"",""vout"":0,""height"":171,""value"":2500000000,""is_coinbase"":true,""timestamp_us"":237080657921}"
utxocache:add,utxocache_add,b87433b5fe13f15e28388405164253fee7c4a845188fb800e07f672057d7f1bf:0,237080927105,160700608859,-76380318246,"{""type"":""utxocache_add"",""txid"":""b87433b5fe13f15e28388405164253fee7c4a845188fb800e07f672057d7f1bf"",""vout"":0,""height"":171,""value"":2500000000,""is_coinbase"":true,""timestamp_us"":237080927105}"
validation:block_connected,block_connected,3213be963f378a784ad8b193f3f4a527e7a903af42c80167e2610848cf85d38f,237080927404,160700609218,-76380318186,"{""type"":""block_connected"",""hash"":""3213be963f378a784ad8b193f3f4a527e7a903af42c80167e2610848cf85d38f"",""height"":171,""tx_count"":1,""inputs_count"":1,""sigops_cost"":0,""duration_ns"":309959,""timestamp_us"":237080927404}"
(internal BlockChecked),block_validated,3213be963f378a784ad8b193f3f4a527e7a903af42c80167e2610848cf85d38f,237080927408,160700609314,-76380318094,"{""type"":""block_validated"",""hash"":""3213be963f378a784ad8b193f3f4a527e7a903af42c80167e2610848cf85d38f"",""height"":-1,""tx_count"":1,""received_us"":237080927408,""validated_us"":237080927408,""accepted"":true}"
utxocache:add,utxocache_add,eb964dbfac6a892bff5e718a60bd99a1cc6a52348979aedb8478c30dcc9f3efe:0,237080927587,160700609348,-76380318239,"{""type"":""utxocache_add"",""txid"":""eb964dbfac6a892bff5e718a60bd99a1cc6a52348979aedb8478c30dcc9f3efe"",""vout"":0,""height"":172,""value"":2500000000,""is_coinbase"":true,""timestamp_us"":237080927587}"
utxocache:add,utxocache_add,eb964dbfac6a892bff5e718a60bd99a1cc6a52348979aedb8478c30dcc9f3efe:0,237080927765,160700609450,-76380318315,"{""type"":""utxocache_add"",""txid"":""eb964dbfac6a892bff5e718a60bd99a1cc6a52348979aedb8478c30dcc9f3efe"",""vout"":0,""height"":172,""value"":2500000000,""is_coinbase"":true,""timestamp_us"":237080927765}"
validation:block_connected,block_connected,1f500d5cb2cb8b043de8e4995005b8a7beb31d722a9a720754e3c5a5428eb161,237080927840,160700609536,-76380318304,"{""type"":""block_connected"",""hash"":""1f500d5cb2cb8b043de8e4995005b8a7beb31d722a9a720754e3c5a5428eb161"",""height"":172,""tx_count"":1,""inputs_count"":1,""sigops_cost"":0,""duration_ns"":77875,""timestamp_us"":237080927840}"
(internal BlockChecked),block_validated,1f500d5cb2cb8b043de8e4995005b8a7beb31d722a9a720754e3c5a5428eb161,237080927843,160700609573,-76380318270,"{""type"":""block_validated"",""hash"":""1f500d5cb2cb8b043de8e4995005b8a7beb31d722a9a720754e3c5a5428eb161"",""height"":-1,""tx_count"":1,""received_us"":237080927843,""validated_us"":237080927843,""accepted"":true}"
utxocache:add,utxocache_add,250775ce430ef2f7fe8b111ef2756ce4d8da39eecf4f8d0000ccb58b1c960a6e:0,237080928027,160700609773,-76380318254,"{""type"":""utxocache_add"",""txid"":""250775ce430ef2f7fe8b111ef2756ce4d8da39eecf4f8d0000ccb58b1c960a6e"",""vout"":0,""height"":173,""value"":2500000000,""is_coinbase"":true,""timestamp_us"":237080928027}"
utxocache:add,utxocache_add,250775ce430ef2f7fe8b111ef2756ce4d8da39eecf4f8d0000ccb58b1c960a6e:0,237080928374,160700610061,-76380318313,"{""type"":""utxocache_add"",""txid"":""250775ce430ef2f7fe8b111ef2756ce4d8da39eecf4f8d0000ccb58b1c960a6e"",""vout"":0,""height"":173,""value"":2500000000,""is_coinbase"":true,""timestamp_us"":237080928374}"
validation:block_connected,block_connected,02d28bab80cb95004c79293950ba8fd2e2006c01e26c6d333c7f0495815736ce,237080928467,160700610146,-76380318321,"{""type"":""block_connected"",""hash"":""02d28bab80cb95004c79293950ba8fd2e2006c01e26c6d333c7f0495815736ce"",""height"":173,""tx_count"":1,""inputs_count"":1,""sigops_cost"":0,""duration_ns"":97375,""timestamp_us"":237080928467}"
(internal BlockChecked),block_validated,02d28bab80cb95004c79293950ba8fd2e2006c01e26c6d333c7f0495815736ce,237080928470,160700610170,-76380318300,"{""type"":""block_validated"",""hash"":""02d28bab80cb95004c79293950ba8fd2e2006c01e26c6d333c7f0495815736ce"",""height"":-1,""tx_count"":1,""received_us"":237080928470,""validated_us"":237080928470,""accepted"":true}"
utxocache:add,utxocache_add,b0d0c851fef59546c78b003cdebda54948e4a6de7b80fd659b326481b84709e2:0,237080931017,160700612710,-76380318307,"{""type"":""utxocache_add"",""txid"":""b0d0c851fef59546c78b003cdebda54948e4a6de7b80fd659b326481b84709e2"",""vout"":0,""height"":174,""value"":2500000000,""is_coinbase"":true,""timestamp_us"":237080931017}"
utxocache:add,utxocache_add,b0d0c851fef59546c78b003cdebda54948e4a6de7b80fd659b326481b84709e2:0,237080931318,160700613005,-76380318313,"{""type"":""utxocache_add"",""txid"":""b0d0c851fef59546c78b003cdebda54948e4a6de7b80fd659b326481b84709e2"",""vout"":0,""height"":174,""value"":2500000000,""is_coinbase"":true,""timestamp_us"":237080931318}"
validation:block_connected,block_connected,3a5089e921c744a7b896a4f496ee8ce2165c0c800110d7e80c96fbcd5ed0a146,237080931405,160700613084,-76380318321,"{""type"":""block_connected"",""hash"":""3a5089e921c744a7b896a4f496ee8ce2165c0c800110d7e80c96fbcd5ed0a146"",""height"":174,""tx_count"":1,""inputs_count"":1,""sigops_cost"":0,""duration_ns"":90292,""timestamp_us"":237080931405}"
(internal BlockChecked),block_validated,3a5089e921c744a7b896a4f496ee8ce2165c0c800110d7e80c96fbcd5ed0a146,237080931408,160700613110,-76380318298,"{""type"":""block_validated"",""hash"":""3a5089e921c744a7b896a4f496ee8ce2165c0c800110d7e80c96fbcd5ed0a146"",""height"":-1,""tx_count"":1,""received_us"":237080931408,""validated_us"":237080931408,""accepted"":true}"
utxocache:add,utxocache_add,338af72212b5482bff79616dbd4cddd2d19d74d813f703d7679ba6f8839999ac:0,237080931505,160700613178,-76380318327,"{""type"":""utxocache_add"",""txid"":""338af72212b5482bff79616dbd4cddd2d19d74d813f703d7679ba6f8839999ac"",""vout"":0,""height"":175,""value"":2500000000,""is_coinbase"":true,""timestamp_us"":237080931505}"
utxocache:add,utxocache_add,338af72212b5482bff79616dbd4cddd2d19d74d813f703d7679ba6f8839999ac:0,237080931617,160700613293,-76380318324,"{""type"":""utxocache_add"",""txid"":""338af72212b5482bff79616dbd4cddd2d19d74d813f703d7679ba6f8839999ac"",""vout"":0,""height"":175,""value"":2500000000,""is_coinbase"":true,""timestamp_us"":237080931617}"
validation:block_connected,block_connected,6a6b539fd646340b207d8ea3daeb3d0e7931ab9a507f7a72b523d483ab80f562,237080933900,160700615596,-76380318304,"{""type"":""block_connected"",""hash"":""6a6b539fd646340b207d8ea3daeb3d0e7931ab9a507f7a72b523d483ab80f562"",""height"":175,""tx_count"":1,""inputs_count"":1,""sigops_cost"":0,""duration_ns"":2285208,""timestamp_us"":237080933900}"
